gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-347494-1913050240,347494,4CARDINAL 1_347494,40.555424,-90.851133,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347494-3339845438,347494,4CARDINAL 1_347494,40.555424,-90.851133,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347515-3866320033,347515,4MARBHD N_347515,39.859083,-91.399685,1.5,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347540-4553635513,347540,4SGCK1 H1,40.09393,-89.4204,70,138.0,Operable,true,,EIA_ONLY,IL
generator-347681-3006626700,347681,2MERDOSIA E_347681,39.82245,-90.55519,2,69.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347681-4650425073,347681,2MERDOSIA E_347681,39.82215,-90.55457,2,69.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-347689-322079762,347689,1J859_347689,39.9778,-90.4711,150,138.0,Operable,true,generator-347689-322079762,EI_EIA2PF,IL
generator-347789-7636907344,347789,4MUDDY,37.85259,-88.44912,150,138.0,Proposed,true,,EIA_ONLY,IL
generator-347831-9858132042,347831,4NEWTON,38.9361,-88.2781,52,138.0,Proposed,true,,EIA_ONLY,IL
generator-347833-5041414362,347833,1BGRV_J853_347833,38.050141,-88.295525,149,138.0,Operable,true,NO_TS,EI_EIA2PF,IL
generator-347850-5976994837,347850,7NORRIS,38.029,-88.284,150,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-347853-1295279357,347853,1J848 G1_347853,39.542799,-89.031529,250,138.0,Proposed,true,generator-347853-1295279357,EI_EIA2PF,IL
generator-347868-9241907297,347868,4JASPER_347868,38.721601,-88.126791,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348072-1972284273,348072,1J811GEN_348072,39.186321,-89.03123,99,138.0,Operable,true,generator-348072-1972284273,EI_EIA2PF,IL
generator-348118-9247796534,348118,4GIFFORD_348118,40.286726,-88.132797,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348291-8980711407,348291,4ST JOHN,38.050106,-89.212676,50,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348294-3910002773,348294,7MASS,37.264918,-88.952399,417.4,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348300-1305812820,348300,4DEMPSEY_348300,39.51303,-89.037337,1.5,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348306-9983213638,348306,4TAYLORVL E_348306,39.528101,-89.320023,1.1,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348307-3441413787,348307,4TAYLR NE,39.563746,-89.270047,5,138.0,Operable,true,,EIA_MMWG_EXACT,IL
generator-348308-4809575517,348308,J815G1_348308,39.58,-89.58,139.10086493260926,0.55,,true,generator-348308-4809575517,EI_MMWG,IL
generator-348309-414763429,348309,J815G2_348309,39.58,-89.58,138.5980407509428,0.63,,true,generator-348309-414763429,EI_MMWG,IL
generator-348408-7864031263,348408,4VIRDEN_348408,39.35009,-89.79322,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348408-9387756694,348408,4VIRDEN,39.53729,-89.809783,592.8,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348501-3415459436,348501,J641-1MSC_S1_348501,39.792296,-90.359316,140,138.0,Operable,true,generator-348501-3415459436,EI_EIA2PF,IL
generator-348506-1026835399,348506,4LEVER_RD 2_348506,40.138283,-88.291246,1.6,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348509-7505204070,348509,4PRN_MUNI TP_348509,41.442306,-89.485874,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348722-5301082733,348722,4CANTEEN_348722,38.62303,-90.087139,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348722-6856388896,348722,4CANTEEN_348722,38.6056,-90.0705,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348781-2400940665,348781,4AVISTON_348781,38.58227,-89.691242,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348781-9404256040,348781,4AVISTON_348781,38.582268,-89.700444,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348801-1520519916,348801,4MAD_IND 2_348801,38.729,-90.135,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348833-7793813440,348833,4SCENTRLA S_348833,38.506385,-89.14826,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348833-6556277415,348833,4SCENTRLA S_348833,38.506899,-89.148261,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348833-4140659916,348833,4SCENTRLA S,38.595759,-89.169833,50,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348834-8948129532,348834,4ASHLEY_348834,38.325312,-89.198873,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
