plant,generator ID,technology,energy_source ,prime_mover,lat,lon,nameplate_capacity,ba
Maplewood Solar,MAPL,Solar Photovoltaic,SUN,PV,36.89,-79.32,120,PJM
Sebera Solar,SEBE,Solar Photovoltaic,SUN,PV,37.25,-77.25,18,PJM
Rochambeau Solar,RBSO,Solar Photovoltaic,SUN,PV,37.35,-76.76,19.9,PJM
Fort Powhatan Solar,FTPW,Solar Photovoltaic,SUN,PV,37.26,-77.08,150,PJM
Bedford Solar,BEDF,Solar Photovoltaic,SUN,PV,36.7,-76.1647,70,PJM
"HCE Amelia Solar I, LLC",AML1,Solar Photovoltaic,SUN,PV,37.45383,-77.95682,5,PJM
"HCE Amelia Solar II, LLC",AML2,Solar Photovoltaic,SUN,PV,37.481141,-77.96789,5,PJM
"HCE Millboro Springs Solar, LLC",MLBS,Solar Photovoltaic,SUN,PV,37.99997,-79.56874,5,PJM
"HCE Moran Solar, LLC",MORAN,Solar Photovoltaic,SUN,PV,37.229858,-78.27129,3,PJM
"HCE Powhatan Solar, LLC",POW,Solar Photovoltaic,SUN,PV,37.52885,-77.95977,5,PJM
"HCE Reams Solar, LLC",REAMS,Solar Photovoltaic,SUN,PV,37.09028,-77.48346,5,PJM
"HCE Red House Solar, LLC",REDHS,Solar Photovoltaic,SUN,PV,37.18378,-78.81415,5,PJM
"HCE Roark Mill Solar, LLC",RKML,Solar Photovoltaic,SUN,PV,37.05622,-79.3051,3.2,PJM
"Bartonsville Energy Facility, LLC",BTS,Solar Photovoltaic,SUN,PV,39.088731,-78.2399,130,PJM
Bookers Mill Solar,BMSO,Solar Photovoltaic,SUN,PV,37.86,-76.56,127,PJM
Madison Solar,MDSO,Solar Photovoltaic,SUN,PV,38.28775,-77.84005,62.5,PJM
Chesapeake Solar Project,CHSP,Solar Photovoltaic,SUN,PV,36.685103,-76.29661,132,PJM
Caden Energix Axton LLC,ENX20,Solar Photovoltaic,SUN,PV,36.667889,-79.75501,66,PJM
Alton Post Office Solar,ALPT1,Solar Photovoltaic,SUN,PV,36.568918,-79.03292,75,PJM
Crystal Hill Solar,CRYH1,Solar Photovoltaic,SUN,PV,36.839909,-78.9382,64.7,PJM
Foxglove Solar,FOXG1,Solar Photovoltaic,SUN,PV,39.073825,-78.28012,75,PJM
Hemings Solar,METER,Solar Photovoltaic,SUN,PV,37.957975,-76.81883,5,PJM
Monroe Solar,METER,Solar Photovoltaic,SUN,PV,36.85345,-79.46991,2.2,PJM
Solidago Solar,SLDO,Solar Photovoltaic,SUN,PV,36.89,-76.71,20,PJM
Randolf Solar,METER,Solar Photovoltaic,SUN,PV,38.745097,-78.67523,3.2,PJM
Small Mouth Bass Solar,METER,Solar Photovoltaic,SUN,PV,37.906257,-79.40387,2.5,PJM
White Stone Ocran Solar LLC Community So,WHITE,Solar Photovoltaic,SUN,PV,37.6529,-76.3888,5,PJM
Prince Edward CSG LLC,PRINC,Solar Photovoltaic,SUN,PV,37.2259,-78.6877,4,PJM
Foxhound,F2024,Solar Photovoltaic,SUN,PV,36.875897,-78.74187,83,PJM
"Shifting Sands Solar, LLC",ENX24,Solar Photovoltaic,SUN,PV,36.616243,-79.84936,18.8,PJM
"Sunny Rock Solar, LLC",ENX23,Solar Photovoltaic,SUN,PV,36.608705,-79.87988,20,PJM
"River Trail Solar, LLC",ENX22,Solar Photovoltaic,SUN,PV,36.709453,-80.88508,20,PJM
Amherst Solar Facility (VA),1,Solar Photovoltaic,SUN,PV,37.553598,-79.0173,4.9,PJM
Cunningham Solar LLC,11111,Solar Photovoltaic,SUN,PV,37.8893,-78.323,5,PJM
The Village at Orchard Ridge (TVOR),P5412,Solar Photovoltaic,SUN,PV,39.201562,-78.21391,1.4,PJM
Carvers Creek Solar,CARV,Solar Photovoltaic,SUN,PV,37.56189,-76.60537,54.9,PJM
"TPE Irish Road Solar, LLC",IRISH,Solar Photovoltaic,SUN,PV,36.727159,-79.50649,5,PJM
"TPE Whitmell Solar, LLC",WHITM,Solar Photovoltaic,SUN,PV,36.727159,-79.50649,5,PJM
Cavalier Solar,CAVPV,Solar Photovoltaic,SUN,PV,37.018,-76.7358,155.6,PJM
Cavalier Solar A2,CAVA2,Solar Photovoltaic,SUN,PV,37.018,-76.7358,84.4,PJM
Mineral Gap,MGPV1,Solar Photovoltaic,SUN,PV,36.99716,-82.52662,3,LGEE
"Augusta CSG, LLC",AUGUS,Solar Photovoltaic,SUN,PV,38.100152,-78.96471,2.9,PJM
"Waynesboro Bridge Solar, LLC Community S",WAYNE,Solar Photovoltaic,SUN,PV,38.102168,-78.92343,5,PJM
"Suffolk CSG, LLC",SUFFO,Solar Photovoltaic,SUN,PV,36.68565,-76.763,3.8,PJM
"Fairfield Lee Solar, LLC Community Solar",FAIRF,Solar Photovoltaic,SUN,PV,37.878085,-79.39692,5,PJM
Rivanna Solar,RIVA,Solar Photovoltaic,SUN,PV,37.966,-78.4,13.3,PJM
Halifax CSG LLC,HALIF,Solar Photovoltaic,SUN,PV,36.679324,-78.93916,3.1,PJM
VA- US Foods- Manassas,USM,Solar Photovoltaic,SUN,PV,38.786044,-77.55476,2,PJM
North Stafford HS,NOSPV,Solar Photovoltaic,SUN,PV,38.467778,-77.45528,1.3,PJM
Fountain Creek Solar,FTCR,Solar Photovoltaic,SUN,PV,36.59,-77.67,80,PJM
Winterberry Solar,WNTB,Solar Photovoltaic,SUN,PV,37.36,-76.53,20,PJM
